AT1G01240	chr1_99394_99893
AT1G01500	chr1_184633_185132
AT1G01520	chr1_190096_190595
AT1G01710	chr1_262328_262827
AT1G01720	chr1_267830_268329
AT1G01830	chr1_302316_302815
AT1G02120	chr1_395261_395760
AT1G02660	chr1_574982_575481
AT1G02670	chr1_575546_576045
AT1G02700	chr1_587829_588328
AT1G02816	chr1_620961_621460
AT1G02930	chr1_662457_662956
AT1G02990	chr1_687316_687815
AT1G03030	chr1_700978_701477
AT1G03070	chr1_729401_729900
AT1G03180	chr1_772911_773410
AT1G03370	chr1_830127_830626
AT1G03520	chr1_880159_880658
AT1G03610	chr1_900387_900886
AT1G03687	chr1_917799_918298
AT1G03800	chr1_957999_958498
AT1G03990	chr1_1024347_1024846
AT1G04010	chr1_1036238_1036737
AT1G04020	chr1_1036037_1036536
AT1G04120	chr1_1071048_1071547
AT1G04540	chr1_1236756_1237255
AT1G04630	chr1_1291113_1291612
AT1G04635	chr1_1290814_1291313
AT1G04690	chr1_1313064_1313563
AT1G04900	chr1_1383341_1383840
AT1G04985	chr1_1418483_1418982
AT1G05030	chr1_1441418_1441917
AT1G05060	chr1_1452873_1453372
AT1G05340	chr1_1559904_1560403
AT1G05350	chr1_1564124_1564623
AT1G05360	chr1_1564098_1564597
AT1G05440	chr1_1597849_1598348
AT1G05460	chr1_1605028_1605527
AT1G05540	chr1_1638786_1639285
AT1G05600	chr1_1671436_1671935
AT1G05785	chr1_1729749_1730248
AT1G05805	chr1_1744273_1744772
AT1G05835	chr1_1761724_1762223
AT1G05890	chr1_1778756_1779255
AT1G06070	chr1_1837649_1838148
AT1G06110	chr1_1855032_1855531
AT1G06160	chr1_1882504_1883003
AT1G06200	chr1_1896936_1897435
AT1G06210	chr1_1896703_1897202
AT1G06530	chr1_2001094_2001593
AT1G06620	chr1_2025101_2025600
AT1G06780	chr1_2082811_2083310
AT1G06850	chr1_2104548_2105047
AT1G07080	chr1_2169482_2169981
AT1G07090	chr1_2174895_2175394
AT1G07150	chr1_2195799_2196298
AT1G07420	chr1_2277307_2277806
AT1G07470	chr1_2290957_2291456
AT1G07480	chr1_2299471_2299970
AT1G07510	chr1_2304878_2305377
AT1G07660	chr1_2368337_2368836
AT1G07670	chr1_2374546_2375045
AT1G07740	chr1_2400509_2401008
AT1G07810	chr1_2415765_2416264
AT1G07980	chr1_2474928_2475427
AT1G07985	chr1_2474905_2475404
AT1G08190	chr1_2566975_2567474
AT1G08290	chr1_2613243_2613742
AT1G08460	chr1_2671951_2672450
AT1G08592	chr1_2721677_2722176
